feature,importance,absolute_importance,model,experiment_id,include_prior_grades,use_interactions
Dalc,-0.22902986539907744,0.22902986539907744,linear_regression,early_warning__with_interactions,False,True
Medu,-0.20579073416615068,0.20579073416615068,linear_regression,early_warning__with_interactions,False,True
Fjob_other,0.19756537482231373,0.19756537482231373,linear_regression,early_warning__with_interactions,False,True
romantic_yes,-0.17750410421794782,0.17750410421794782,linear_regression,early_warning__with_interactions,False,True
romantic_no,0.17750410421794777,0.17750410421794777,linear_regression,early_warning__with_interactions,False,True
goout,-0.17479612256561797,0.17479612256561797,linear_regression,early_warning__with_interactions,False,True
schoolsup_x_failures,0.16455234115143427,0.16455234115143427,linear_regression,early_warning__with_interactions,False,True
address_U,0.15554644707956222,0.15554644707956222,linear_regression,early_warning__with_interactions,False,True
address_R,-0.1555464470795614,0.1555464470795614,linear_regression,early_warning__with_interactions,False,True
famrel,0.15141169709373234,0.15141169709373234,linear_regression,early_warning__with_interactions,False,True
reason_course,0.14638158516539834,0.14638158516539834,linear_regression,early_warning__with_interactions,False,True
paid_no,0.12328948776531984,0.12328948776531984,linear_regression,early_warning__with_interactions,False,True
paid_yes,-0.12328948776531967,0.12328948776531967,linear_regression,early_warning__with_interactions,False,True
freetime,-0.12177309459250846,0.12177309459250846,linear_regression,early_warning__with_interactions,False,True
age,0.12099695353484755,0.12099695353484755,linear_regression,early_warning__with_interactions,False,True
Fedu,0.10969499894255413,0.10969499894255413,linear_regression,early_warning__with_interactions,False,True
famsize_LE3,0.1051994674169704,0.1051994674169704,linear_regression,early_warning__with_interactions,False,True
famsize_GT3,-0.10519946741697034,0.10519946741697034,linear_regression,early_warning__with_interactions,False,True
activities_no,-0.09284989747774923,0.09284989747774923,linear_regression,early_warning__with_interactions,False,True
activities_yes,0.09284989747774908,0.09284989747774908,linear_regression,early_warning__with_interactions,False,True
Pstatus_A,0.08798922186176128,0.08798922186176128,linear_regression,early_warning__with_interactions,False,True
Pstatus_T,-0.08798922186176072,0.08798922186176072,linear_regression,early_warning__with_interactions,False,True
guardian_father,-0.08528924233155113,0.08528924233155113,linear_regression,early_warning__with_interactions,False,True
Mjob_services,0.05893200890919725,0.05893200890919725,linear_regression,early_warning__with_interactions,False,True
Mjob_teacher,0.04913137027742703,0.04913137027742703,linear_regression,early_warning__with_interactions,False,True
traveltime,-0.04349427865331751,0.04349427865331751,linear_regression,early_warning__with_interactions,False,True
nursery_no,0.04198716374063782,0.04198716374063782,linear_regression,early_warning__with_interactions,False,True
nursery_yes,-0.0419871637406376,0.0419871637406376,linear_regression,early_warning__with_interactions,False,True
absences,0.024546906030189636,0.024546906030189636,linear_regression,early_warning__with_interactions,False,True
Fjob_teacher,0.018795925564913746,0.018795925564913746,linear_regression,early_warning__with_interactions,False,True
Walc,-0.009164485554886914,0.009164485554886914,linear_regression,early_warning__with_interactions,False,True
reason_home,-0.007801370293358839,0.007801370293358839,linear_regression,early_warning__with_interactions,False,True
famsup_no,0.0006298510895363651,0.0006298510895363651,linear_regression,early_warning__with_interactions,False,True
famsup_yes,-0.000629851089535699,0.000629851089535699,linear_regression,early_warning__with_interactions,False,True
schoolsup_yes,-0.8896519108697991,0.8896519108697991,ridge,early_warning__with_interactions,False,True
schoolsup_no,0.8896519108697974,0.8896519108697974,ridge,early_warning__with_interactions,False,True
higher_no,-0.8391948643775026,0.8391948643775026,ridge,early_warning__with_interactions,False,True
higher_yes,0.8391948643774996,0.8391948643774996,ridge,early_warning__with_interactions,False,True
school_GP,0.6865146085856536,0.6865146085856536,ridge,early_warning__with_interactions,False,True
school_MS,-0.686514608585644,0.686514608585644,ridge,early_warning__with_interactions,False,True
studytime,0.6355827087156921,0.6355827087156921,ridge,early_warning__with_interactions,False,True
Fjob_at_home,0.6161266946898765,0.6161266946898765,ridge,early_warning__with_interactions,False,True
failures,-0.5899050856990743,0.5899050856990743,ridge,early_warning__with_interactions,False,True
Mjob_health,0.561096325180516,0.561096325180516,ridge,early_warning__with_interactions,False,True
reason_other,-0.5388788461901581,0.5388788461901581,ridge,early_warning__with_interactions,False,True
guardian_other,0.4795809796253095,0.4795809796253095,ridge,early_warning__with_interactions,False,True
internet_no,-0.42417151672186265,0.42417151672186265,ridge,early_warning__with_interactions,False,True
internet_yes,0.42417151672186254,0.42417151672186254,ridge,early_warning__with_interactions,False,True
Fjob_health,-0.4221500675147002,0.4221500675147002,ridge,early_warning__with_interactions,False,True
Mjob_at_home,-0.4143829055984376,0.4143829055984376,ridge,early_warning__with_interactions,False,True
reason_reputation,0.402390304564012,0.402390304564012,ridge,early_warning__with_interactions,False,True
Fjob_services,-0.40133249281774436,0.40133249281774436,ridge,early_warning__with_interactions,False,True
guardian_mother,-0.40027060626142363,0.40027060626142363,ridge,early_warning__with_interactions,False,True
studytime_x_failures,-0.36687163907526366,0.36687163907526366,ridge,early_warning__with_interactions,False,True
internet_x_studytime,-0.35686666140181916,0.35686666140181916,ridge,early_warning__with_interactions,False,True
health,-0.32770478944445747,0.32770478944445747,ridge,early_warning__with_interactions,False,True
Medu_x_Fedu,0.3226149137454608,0.3226149137454608,ridge,early_warning__with_interactions,False,True
studytime_x_absences,-0.28477926871252524,0.28477926871252524,ridge,early_warning__with_interactions,False,True
sex_F,0.25992517790424496,0.25992517790424496,ridge,early_warning__with_interactions,False,True
sex_M,-0.25992517790423797,0.25992517790423797,ridge,early_warning__with_interactions,False,True
Mjob_other,-0.25832369642873587,0.25832369642873587,ridge,early_warning__with_interactions,False,True
Dalc,-0.23153975031196727,0.23153975031196727,ridge,early_warning__with_interactions,False,True
Fjob_other,0.192370080159861,0.192370080159861,ridge,early_warning__with_interactions,False,True
Medu,-0.1919688689509924,0.1919688689509924,ridge,early_warning__with_interactions,False,True
romantic_no,0.17625287110386287,0.17625287110386287,ridge,early_warning__with_interactions,False,True
romantic_yes,-0.17625287110386256,0.17625287110386256,ridge,early_warning__with_interactions,False,True
goout,-0.17363241877128419,0.17363241877128419,ridge,early_warning__with_interactions,False,True
schoolsup_x_failures,0.16099142001888972,0.16099142001888972,ridge,early_warning__with_interactions,False,True
address_U,0.15576969694536005,0.15576969694536005,ridge,early_warning__with_interactions,False,True
